"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions",Universe,"Variable List"
"Tax filers and dependants with income by total income, sex and age",11100008,111-0008,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110000801",1;2;3;4;5,"CURRENT - a cube available to the public and that is current",Annual,2000-01-01,2017-01-01,4,,

"Dimension ID","Dimension name","Dimension Notes","Dimension Correction Notes","Dimension Definitions"
1,Geography,11,,
2,Sex,,,
3,"Age group",4;10,,
4,"Persons with income",5,,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Correction Notes","Member Geo Attribute Keys","Member Definitions"
1,Canada,[11124],1,,,,,,
1,"Newfoundland and Labrador",[10],2,1,,,,,
1,"St. John's, Newfoundland and Labrador",[001],3,2,,,,,
1,"Prince Edward Island",[11],4,1,,,,,
1,"Nova Scotia",[12],5,1,,,,,
1,"Halifax, Nova Scotia",[205],6,5,,,,,
1,"New Brunswick",[13],7,1,,,,,
1,"Saint John, New Brunswick",[310],8,7,,,,,
1,Quebec,[24],9,1,,,,,
1,"Saguenay, Quebec",[408],10,9,,8,,,
1,"Québec, Quebec",[421],11,9,,,,,
1,"Sherbrooke, Quebec",[433],12,9,,,,,
1,"Trois-Rivières, Quebec",[442],13,9,,,,,
1,"Montréal, Quebec",[462],14,9,,12,,,
1,"Ottawa-Gatineau, Quebec part",[24505],15,9,,7,,,
1,Ontario,[35],16,1,,,,,
1,"Ottawa-Gatineau, Ontario part",[35505],17,16,,7,,,
1,"Oshawa, Ontario",[532],18,16,,,,,
1,"Toronto, Ontario",[535],19,16,,,,,
1,"Hamilton, Ontario",[537],20,16,,,,,
1,"St. Catharines-Niagara, Ontario",[539],21,16,,,,,
1,"Kitchener-Cambridge-Waterloo, Ontario",[541],22,16,,8,,,
1,"London, Ontario",[555],23,16,,,,,
1,"Windsor, Ontario",[559],24,16,,,,,
1,"Greater Sudbury, Ontario",[580],25,16,,8,,,
1,"Thunder Bay, Ontario",[595],26,16,,,,,
1,Manitoba,[46],27,1,,,,,
1,"Winnipeg, Manitoba",[602],28,27,,,,,
1,Saskatchewan,[47],29,1,,,,,
1,"Regina, Saskatchewan",[705],30,29,,,,,
1,"Saskatoon, Saskatchewan",[725],31,29,,,,,
