Age group,REF_DATE,Sex,"5 or more drinks on one occasion, at least once a month in the past year",Arthritis,Asthma,"Body mass index, self-reported, adult (18 years and over), obese","Body mass index, self-reported, adult (18 years and over), overweight","Body mass index, self-reported, adult (18 years and over), overweight or obese","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Breastfeeding initiation,Chronic obstructive pulmonary disease (COPD),Contact with a medical doctor in the past 12 months,"Current smoker, daily","Current smoker, daily or occasional",Diabetes,"Exclusive breastfeeding, at least 6 months",Exposure to second-hand smoke at home,"Exposure to second-hand smoke in the past month, in public places","Exposure to second-hand smoke in the past month, in vehicles","Exposure to second-hand smoke in the past month, in vehicles and/or public places","Fruit and vegetable consumption, 5 times or more per day","Functional health, good to full",Has a regular medical doctor,Heavy drinking,High blood pressure,"Influenza immunization, less than one year ago",Injuries in the past 12 months causing limitation of normal activities,"Injuries in the past 12 months, sought medical attention","Life satisfaction, satisfied or very satisfied",Mood disorder,"Pain or discomfort by severity, moderate or severe",Pain or discomfort that prevents activities,"Participation and activity limitation, sometimes or often","Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, quite a lot (15 years and over)","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Physical activity during leisure-time, inactive","Physical activity during leisure-time, moderately active or active","Sense of belonging to local community, somewhat strong or very strong","Wears a helmet when riding a bicycle, always"
12 to 19 years,2007/2008,Females,5375.0,,10246.0,,,,7668.0,,,86181.0,,,,,13418.0,32336.0,13341.0,33835.0,51291.0,,108734.0,,,37366.0,,,100442.0,,,,14845.0,,84998.0,13933.0,,92631.0,62259.0,54068.0,90107.0,
12 to 19 years,2007/2008,Males,8966.0,,,,,,18650.0,,,84180.0,,16437.0,,,,24414.0,12706.0,31058.0,52252.0,,118143.0,,,28358.0,,,117172.0,,,,19904.0,,93157.0,14759.0,,97998.0,33356.0,88584.0,82945.0,
12 to 19 years,2009/2010,Females,10370.0,,9121.0,,,,16140.0,,,91196.0,,,,,,32703.0,6449.0,35943.0,57792.0,95082.0,108475.0,,,22076.0,11045.0,,105956.0,,,,14454.0,5310.0,78471.0,21697.0,,85640.0,56860.0,57153.0,92267.0,20477.0
12 to 19 years,2009/2010,Males,5282.0,,10840.0,,,9794.0,16375.0,,,91577.0,,,,,14541.0,23897.0,,25942.0,54369.0,106738.0,111509.0,,,35615.0,27240.0,12725.0,111903.0,,,,10135.0,,93324.0,,,94186.0,30729.0,84485.0,81458.0,25947.0
12 to 19 years,2011/2012,Females,,,,,,,,,,,,,,,,39461.0,,39909.0,40011.0,,101903.0,,,24542.0,,,108566.0,,,,,,74617.0,18654.0,,89664.0,39336.0,71962.0,95287.0,30082.0
12 to 19 years,2011/2012,Males,10177.0,,8439.0,,,,19790.0,,,,,,,,4992.0,20172.0,6586.0,24618.0,51103.0,,102194.0,,,30476.0,,,108315.0,,,,,,85824.0,11552.0,,89085.0,33601.0,81416.0,88938.0,30757.0
12 to 19 years,2013/2014,Females,,,8676.0,,,,8554.0,,,74965.0,,,,,6483.0,29858.0,,32079.0,52492.0,86767.0,105704.0,,,21254.0,14228.0,,106528.0,,,,21658.0,,69985.0,22108.0,12530.0,76147.0,48873.0,61175.0,87778.0,14852.0
12 to 19 years,2013/2014,Males,,,9429.0,,,,22880.0,,,83852.0,,,,,,24991.0,,26156.0,31365.0,103718.0,110366.0,11279.0,,34149.0,29855.0,14309.0,110744.0,,,,15496.0,,85400.0,9640.0,,82114.0,40724.0,72422.0,89411.0,24894.0
20 to 34 years,2007/2008,Females,45721.0,8597.0,16868.0,22002.0,38103.0,60105.0,,66484.0,,250770.0,31223.0,50550.0,,20090.0,,45487.0,10717.0,49873.0,116860.0,,254864.0,,,63151.0,,,267306.0,10593.0,11307.0,19495.0,42131.0,17779.0,208143.0,65651.0,15552.0,231378.0,176326.0,118119.0,168309.0,
20 to 34 years,2007/2008,Males,90342.0,,19111.0,27233.0,86281.0,113513.0,,,,185950.0,62377.0,95025.0,,,,43961.0,27744.0,51014.0,97861.0,,221270.0,,,45616.0,,,263103.0,,,12050.0,37510.0,8305.0,203389.0,39956.0,,235205.0,151438.0,141237.0,157494.0,
20 to 34 years,2009/2010,Females,42975.0,,37864.0,23842.0,40335.0,64177.0,,55785.0,,258656.0,33842.0,51198.0,,16428.0,,44777.0,14931.0,49597.0,153400.0,274951.0,272930.0,,,46271.0,29796.0,16447.0,287150.0,14933.0,19540.0,21312.0,37318.0,10388.0,233249.0,82139.0,15471.0,241453.0,193744.0,121164.0,209106.0,45249.0
20 to 34 years,2009/2010,Males,80583.0,,13158.0,48149.0,80155.0,128304.0,,,,210316.0,63438.0,89441.0,,,,37732.0,,54467.0,109445.0,269240.0,229211.0,,9492.0,47074.0,41658.0,,274069.0,9014.0,17249.0,21057.0,31199.0,27492.0,222263.0,62326.0,13002.0,234881.0,163928.0,139074.0,156234.0,27389.0
20 to 34 years,2011/2012,Females,51316.0,,21943.0,36316.0,53359.0,89675.0,,62203.0,,,31709.0,62328.0,,18123.0,,44457.0,13560.0,48913.0,117680.0,,253613.0,,,63585.0,,,287569.0,24631.0,23708.0,26428.0,,26496.0,205208.0,81391.0,26800.0,221791.0,174064.0,135638.0,169636.0,56227.0
20 to 34 years,2011/2012,Males,101227.0,,17227.0,28343.0,98456.0,126799.0,,,,,50650.0,89794.0,,,,48468.0,13877.0,51989.0,100440.0,,207925.0,,,45350.0,,,264228.0,20592.0,,15447.0,,18752.0,202498.0,71585.0,12031.0,201529.0,144528.0,148847.0,180439.0,40148.0
20 to 34 years,2013/2014,Females,,9579.0,22339.0,23809.0,65098.0,88908.0,,65841.0,,261304.0,25932.0,50026.0,,26516.0,14851.0,49886.0,18631.0,54472.0,118283.0,279089.0,275229.0,72106.0,,64748.0,42794.0,16180.0,300419.0,23971.0,32519.0,29412.0,74731.0,25690.0,219523.0,98580.0,17214.0,228970.0,171648.0,159161.0,185788.0,50138.0
20 to 34 years,2013/2014,Males,,,19726.0,52790.0,103809.0,156598.0,,,,226929.0,62937.0,92858.0,,,,50490.0,27439.0,63616.0,102985.0,284299.0,244151.0,105864.0,,40743.0,44360.0,22206.0,303676.0,22686.0,,,74275.0,,236229.0,84756.0,15884.0,244693.0,124576.0,198434.0,204143.0,52612.0
35 to 44 years,2007/2008,Females,11272.0,11722.0,25628.0,18421.0,58943.0,77364.0,,47995.0,,204123.0,15123.0,26703.0,,16544.0,,26756.0,10772.0,30462.0,101261.0,,219322.0,,16189.0,73495.0,,,209543.0,16787.0,19165.0,23640.0,49003.0,12186.0,158296.0,66193.0,12186.0,178592.0,146151.0,91225.0,140757.0,
35 to 44 years,2007/2008,Males,36783.0,,5542.0,28677.0,86530.0,115207.0,,,,175200.0,50021.0,73313.0,,,,20130.0,,23499.0,81684.0,,201469.0,,17701.0,58041.0,,,202639.0,8761.0,18741.0,17608.0,51985.0,15868.0,149423.0,53959.0,14479.0,173490.0,125759.0,101195.0,134858.0,
35 to 44 years,2009/2010,Females,10374.0,,9701.0,22104.0,39992.0,62096.0,,48605.0,,186123.0,20081.0,25301.0,,13857.0,,26339.0,,28603.0,117748.0,174190.0,206919.0,,14974.0,59317.0,14685.0,,186596.0,21526.0,12700.0,23590.0,36358.0,19552.0,148230.0,73065.0,14515.0,163768.0,147050.0,74473.0,139871.0,38149.0
35 to 44 years,2009/2010,Males,46262.0,11792.0,10896.0,26820.0,73872.0,100692.0,,,,154551.0,41899.0,57343.0,,,,23012.0,,24099.0,94052.0,190055.0,186608.0,,27578.0,33258.0,25074.0,8401.0,200337.0,10975.0,10972.0,15099.0,36275.0,5291.0,156212.0,68534.0,14255.0,171527.0,134542.0,83492.0,134765.0,32249.0
35 to 44 years,2011/2012,Females,14526.0,,14107.0,20404.0,60498.0,80902.0,,55900.0,,,18007.0,30568.0,,17670.0,,16757.0,,17990.0,102101.0,,225201.0,,13509.0,67470.0,,,222148.0,16849.0,25294.0,32429.0,,13976.0,167920.0,75029.0,17578.0,172990.0,121235.0,117795.0,176504.0,29919.0
35 to 44 years,2011/2012,Males,40672.0,,9922.0,25532.0,82091.0,107623.0,,,,,35697.0,57429.0,,,,34866.0,9046.0,41183.0,87350.0,,207147.0,,19994.0,35226.0,,,204474.0,,13123.0,36319.0,,11215.0,137491.0,76221.0,,167438.0,130232.0,98329.0,134394.0,42562.0
35 to 44 years,2013/2014,Females,,16113.0,10098.0,24929.0,43073.0,68002.0,,60041.0,,176830.0,19158.0,26717.0,,17364.0,,34396.0,,35947.0,91103.0,179290.0,194785.0,22800.0,,53477.0,17065.0,,190152.0,24630.0,39050.0,49618.0,65318.0,,119582.0,62934.0,16367.0,145661.0,132647.0,82655.0,148626.0,26960.0
35 to 44 years,2013/2014,Males,,,,25071.0,89930.0,115000.0,,,,142695.0,29351.0,43382.0,,,,19843.0,,21075.0,75229.0,170245.0,176510.0,40784.0,13809.0,48269.0,30947.0,,190960.0,,,24384.0,34305.0,,147182.0,53683.0,,151652.0,111637.0,93659.0,141815.0,42973.0
45 to 64 years,2007/2008,Females,14872.0,76313.0,32612.0,48682.0,102751.0,151433.0,,,,293667.0,39871.0,50958.0,42071.0,,13302.0,28913.0,10691.0,36722.0,144954.0,,327114.0,,85106.0,144882.0,,,279533.0,39439.0,56801.0,63028.0,122220.0,63151.0,183968.0,90384.0,27060.0,243952.0,204003.0,126582.0,205592.0,
45 to 64 years,2007/2008,Males,46855.0,56812.0,18993.0,52018.0,122845.0,174863.0,,,,253979.0,54471.0,67711.0,46463.0,,,33034.0,25676.0,51307.0,95387.0,,272525.0,,64091.0,113342.0,,,244664.0,21332.0,42908.0,41205.0,113008.0,59590.0,163603.0,84245.0,18580.0,221455.0,194980.0,113431.0,201318.0,
45 to 64 years,2009/2010,Females,6513.0,79013.0,30455.0,58184.0,96390.0,154574.0,,,8338.0,322029.0,31986.0,44544.0,32040.0,,,44423.0,19351.0,58772.0,164813.0,274595.0,343910.0,,70589.0,112236.0,30020.0,14049.0,312273.0,31021.0,62017.0,73988.0,90921.0,47182.0,200265.0,124805.0,27210.0,242890.0,219474.0,130590.0,236509.0,36490.0
45 to 64 years,2009/2010,Males,53544.0,46494.0,18378.0,57145.0,135365.0,192510.0,,,11808.0,272062.0,50108.0,59708.0,44370.0,,,43646.0,,46696.0,120558.0,268270.0,312209.0,,62554.0,101452.0,36643.0,14909.0,290151.0,24875.0,29029.0,45021.0,86812.0,43872.0,200680.0,99811.0,30486.0,228986.0,182287.0,151969.0,225103.0,58420.0
45 to 64 years,2011/2012,Females,,83765.0,34903.0,53543.0,94299.0,147841.0,,,8061.0,,30052.0,48126.0,,,,30266.0,19866.0,45242.0,181823.0,,345487.0,,94533.0,131322.0,,,307264.0,46043.0,79153.0,78445.0,,64591.0,190810.0,103364.0,35839.0,242564.0,188514.0,172113.0,253411.0,43479.0
45 to 64 years,2011/2012,Males,55601.0,40937.0,,55851.0,155698.0,211549.0,,,,,51649.0,69093.0,18621.0,,,19137.0,,30743.0,104357.0,,319456.0,,63663.0,95595.0,,,304196.0,30267.0,53380.0,60888.0,,38469.0,195103.0,97484.0,31381.0,238926.0,196105.0,149574.0,234717.0,71359.0
45 to 64 years,2013/2014,Females,,98464.0,27498.0,41769.0,135810.0,177579.0,,,10339.0,331970.0,31692.0,42122.0,27235.0,,,37631.0,7819.0,44289.0,169094.0,251747.0,357273.0,26047.0,89557.0,149339.0,34061.0,14988.0,293837.0,33352.0,81229.0,86266.0,129747.0,62392.0,201789.0,101499.0,38077.0,249902.0,199778.0,162623.0,234571.0,46297.0
