"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Components of population growth by census metropolitan area, age group and sex, annual, based on the Standard Geographical Classification (SGC) 2011, inactive",17100079,051-0057,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710007901",1;2;15;16;21,"ARCHIVED -  a cube publicly available but no longer being updated",Annual,2001-01-01,2016-01-01,4

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,"Components of population growth",,
3,Sex,,
4,"Age group",13,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,"St. John's, Newfoundland and Labrador",[001],1,,,,
1,"Halifax, Nova Scotia",[205],2,,,,
1,"Moncton, New Brunswick",[305],3,,,,
1,"Saint John, New Brunswick",[310],4,,,,
1,"Saguenay, Quebec",[408],5,,,,
1,"Québec, Quebec",[421],6,,,,
1,"Sherbrooke, Quebec",[433],7,,,,
1,"Trois-Rivières, Quebec",[442],8,,,,
1,"Montréal, Quebec",[462],9,,,,
1,"Ottawa-Gatineau, Ontario/Quebec",[505],10,,,,
1,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",[35505],11,10,,,
1,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",[24505],12,10,,,
1,"Kingston, Ontario",[521],13,,,,
1,"Peterborough, Ontario",[529],14,,,,
1,"Oshawa, Ontario",[532],15,,,,
1,"Toronto, Ontario",[535],16,,,,
1,"Hamilton, Ontario",[537],17,,,,
1,"St. Catharines-Niagara, Ontario",[539],18,,,,
1,"Kitchener-Cambridge-Waterloo, Ontario",[541],19,,,,
1,"Brantford, Ontario",[543],20,,,,
1,"Guelph, Ontario",[550],21,,,,
1,"London, Ontario",[555],22,,,,
1,"Windsor, Ontario",[559],23,,,,
1,"Barrie, Ontario",[568],24,,,,
1,"Greater Sudbury, Ontario",[580],25,,,,
1,"Thunder Bay, Ontario",[595],26,,,,
1,"Winnipeg, Manitoba",[602],27,,,,
