"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries",17100135,,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710013501",1;2;3;4;5;7;8,"CURRENT - a cube available to the public and that is current",Annual,2006-01-01,2018-01-01,3

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,Sex,,
3,"Age group",6,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,"St. John's (CMA), Newfoundland and Labrador",[001],1,,,,
1,"Bay Roberts (CA), Newfoundland and Labrador",[005],2,,,,
1,"Grand Falls-Windsor (CA), Newfoundland and Labrador",[010],3,,,,
1,"Gander (CA), Newfoundland and Labrador",[011],4,,,,
1,"Corner Brook (CA), Newfoundland and Labrador",[015],5,,,,
1,"Charlottetown (CA), Prince Edward Island",[105],6,,,,
1,"Summerside (CA), Prince Edward Island",[110],7,,,,
1,"Halifax (CMA), Nova Scotia",[205],8,,,,
1,"Kentville (CA), Nova Scotia",[210],9,,,,
1,"Truro (CA), Nova Scotia",[215],10,,,,
1,"New Glasgow (CA), Nova Scotia",[220],11,,,,
1,"Cape Breton (CA), Nova Scotia",[225],12,,,,
1,"Moncton (CMA), New Brunswick",[305],13,,,,
1,"Saint John (CMA), New Brunswick",[310],14,,,,
1,"Fredericton (CA), New Brunswick",[320],15,,,,
1,"Bathurst (CA), New Brunswick",[328],16,,,,
1,"Miramichi (CA), New Brunswick",[329],17,,,,
1,"Edmundston (CA), New Brunswick",[335],18,,,,
1,"Campbellton (CA), New Brunswick/Quebec",[330],19,,,,
1,"Campbellton (CA), New Brunswick part, New Brunswick",[13330],20,19,,,
1,"Campbellton (CA), Quebec part, Quebec",[24330],21,19,,,
1,"Matane (CA), Quebec",[403],22,,,,
1,"Rimouski (CA), Quebec",[404],23,,,,
1,"Rivière-du-Loup (CA), Quebec",[405],24,,,,
1,"Baie-Comeau (CA), Quebec",[406],25,,,,
1,"Saguenay (CMA), Quebec",[408],26,,,,
1,"Alma (CA), Quebec",[410],27,,,,
1,"Dolbeau-Mistassini (CA), Quebec",[411],28,,,,
1,"Sept-Îles (CA), Quebec",[412],29,,,,
1,"Québec (CMA), Quebec",[421],30,,,,
1,"Sainte-Marie (CA), Quebec",[423],31,,,,
1,"Saint-Georges (CA), Quebec",[428],32,,,,
1,"Thetford Mines (CA), Quebec",[430],33,,,,
1,"Sherbrooke (CMA), Quebec",[433],34,,,,
1,"Cowansville (CA), Quebec",[437],35,,,,
1,"Victoriaville (CA), Quebec",[440],36,,,,
1,"Trois-Rivières (CMA), Quebec",[442],37,,,,
1,"Shawinigan (CA), Quebec",[444],38,,,,
1,"Drummondville (CA), Quebec",[447],39,,,,
1,"Granby (CA), Quebec",[450],40,,,,
1,"Saint-Hyacinthe (CA), Quebec",[452],41,,,,
1,"Sorel-Tracy (CA), Quebec",[454],42,,,,
1,"Joliette (CA), Quebec",[456],43,,,,
1,"Montréal (CMA), Quebec",[462],44,,,,
1,"Salaberry-de-Valleyfield (CA), Quebec",[465],45,,,,
1,"Lachute (CA), Quebec",[468],46,,,,
1,"Val-d'Or (CA), Quebec",[480],47,,,,
1,"Rouyn-Noranda (CA), Quebec",[485],48,,,,
1,"Hawkesbury (CA), Ontario/Quebec",[502],49,,,,
1,"Hawkesbury (CA), Ontario part, Ontario",[35502],50,49,,,
1,"Hawkesbury (CA), Quebec part, Quebec",[24502],51,49,,,
1,"Ottawa - Gatineau (CMA), Ontario/Quebec",[505],52,,,,
1,"Ottawa - Gatineau (CMA), Ontario part, Ontario",[35505],53,52,,,
1,"Ottawa - Gatineau (CMA), Quebec part, Quebec",[24505],54,52,,,
1,"Cornwall (CA), Ontario",[501],55,,,,
1,"Arnprior (CA), Ontario",[507],56,,,,
1,"Carleton Place (CA), Ontario",[509],57,,,,
1,"Brockville (CA), Ontario",[512],58,,,,
1,"Pembroke (CA), Ontario",[515],59,,,,
1,"Petawawa (CA), Ontario",[516],60,,,,
1,"Kingston (CMA), Ontario",[521],61,,,,
1,"Belleville (CMA), Ontario",[522],62,,,,
1,"Cobourg (CA), Ontario",[527],63,,,,
1,"Port Hope (CA), Ontario",[528],64,,,,
1,"Peterborough (CMA), Ontario",[529],65,,,,
1,"Kawartha Lakes (CA), Ontario",[530],66,,,,
1,"Centre Wellington (CA), Ontario",[531],67,,,,
1,"Oshawa (CMA), Ontario",[532],68,,,,
1,"Ingersoll (CA), Ontario",[533],69,,,,
1,"Toronto (CMA), Ontario",[535],70,,,,
1,"Hamilton (CMA), Ontario",[537],71,,,,
1,"St. Catharines - Niagara (CMA), Ontario",[539],72,,,,
1,"Kitchener - Cambridge - Waterloo (CMA), Ontario",[541],73,,,,
1,"Brantford (CMA), Ontario",[543],74,,,,
1,"Woodstock (CA), Ontario",[544],75,,,,
1,"Tillsonburg (CA), Ontario",[546],76,,,,
1,"Norfolk (CA), Ontario",[547],77,,,,
1,"Guelph (CMA), Ontario",[550],78,,,,
1,"Stratford (CA), Ontario",[553],79,,,,
1,"London (CMA), Ontario",[555],80,,,,
1,"Chatham-Kent (CA), Ontario",[556],81,,,,
1,"Leamington (CA), Ontario",[557],82,,,,
1,"Windsor (CMA), Ontario",[559],83,,,,
1,"Sarnia (CA), Ontario",[562],84,,,,
1,"Wasaga Beach (CA), Ontario",[565],85,,,,
1,"Owen Sound (CA), Ontario",[566],86,,,,
1,"Collingwood (CA), Ontario",[567],87,,,,
1,"Barrie (CMA), Ontario",[568],88,,,,
1,"Orillia (CA), Ontario",[569],89,,,,
1,"Midland (CA), Ontario",[571],90,,,,
1,"North Bay (CA), Ontario",[575],91,,,,
1,"Greater Sudbury (CMA), Ontario",[580],92,,,,
1,"Elliot Lake (CA), Ontario",[582],93,,,,
1,"Timmins (CA), Ontario",[586],94,,,,
1,"Sault Ste. Marie (CA), Ontario",[590],95,,,,
1,"Thunder Bay (CMA), Ontario",[595],96,,,,
1,"Kenora (CA), Ontario",[598],97,,,,
1,"Winnipeg (CMA), Manitoba",[602],98,,,,
1,"Winkler (CA), Manitoba",[603],99,,,,
1,"Steinbach (CA), Manitoba",[605],100,,,,
1,"Portage la Prairie (CA), Manitoba",[607],101,,,,
1,"Brandon (CA), Manitoba",[610],102,,,,
1,"Thompson (CA), Manitoba",[640],103,,,,
1,"Regina (CMA), Saskatchewan",[705],104,,,,
1,"Yorkton (CA), Saskatchewan",[710],105,,,,
1,"Moose Jaw (CA), Saskatchewan",[715],106,,,,
1,"Swift Current (CA), Saskatchewan",[720],107,,,,
1,"Saskatoon (CMA), Saskatchewan",[725],108,,,,
1,"North Battleford (CA), Saskatchewan",[735],109,,,,
1,"Prince Albert (CA), Saskatchewan",[745],110,,,,
1,"Estevan (CA), Saskatchewan",[750],111,,,,
1,"Weyburn (CA), Saskatchewan",[755],112,,,,
1,"Lloydminster (CA), Alberta/Saskatchewan",[840],113,,,,
1,"Lloydminster (CA), Alberta part, Alberta",[48840],114,113,,,
1,"Lloydminster (CA), Saskatchewan part, Saskatchewan",[47840],115,113,,,
1,"Medicine Hat (CA), Alberta",[805],116,,,,
1,"Brooks (CA), Alberta",[806],117,,,,
1,"Lethbridge (CMA), Alberta",[810],118,,,,
1,"Okotoks (CA), Alberta",[820],119,,,,
1,"High River (CA), Alberta",[821],120,,,,
1,"Calgary (CMA), Alberta",[825],121,,,,
1,"Strathmore (CA), Alberta",[826],122,,,,
1,"Canmore (CA), Alberta",[828],123,,,,
1,"Red Deer (CA), Alberta",[830],124,,,,
1,"Sylvan Lake (CA), Alberta",[831],125,,,,
1,"Lacombe (CA), Alberta",[832],126,,,,
1,"Camrose (CA), Alberta",[833],127,,,,
1,"Edmonton (CMA), Alberta",[835],128,,,,
1,"Cold Lake (CA), Alberta",[845],129,,,,
1,"Grande Prairie (CA), Alberta",[850],130,,,,
1,"Wood Buffalo (CA), Alberta",[860],131,,,,
1,"Wetaskiwin (CA), Alberta",[865],132,,,,
1,"Cranbrook (CA), British Columbia",[905],133,,,,
1,"Nelson (CA), British Columbia",[907],134,,,,
1,"Penticton (CA), British Columbia",[913],135,,,,
1,"Kelowna (CMA), British Columbia",[915],136,,,,
1,"Vernon (CA), British Columbia",[918],137,,,,
1,"Salmon Arm (CA), British Columbia",[920],138,,,,
1,"Kamloops (CA), British Columbia",[925],139,,,,
1,"Chilliwack (CA), British Columbia",[930],140,,,,
1,"Abbotsford - Mission (CMA), British Columbia",[932],141,,,,
1,"Vancouver (CMA), British Columbia",[933],142,,,,
1,"Squamish (CA), British Columbia",[934],143,,,,
1,"Victoria (CMA), British Columbia",[935],144,,,,
