REF_DATE,GEO,DGUID,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units ,0,v1060794271,70.1.1,5334382,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,0 to 4 years,Persons,249,units ,0,v1060794272,70.1.2,305980,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,0 years,Persons,249,units ,0,v1060794273,70.1.3,60241,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,1 year,Persons,249,units ,0,v1060794274,70.1.4,61645,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,2 years,Persons,249,units ,0,v1060794275,70.1.5,62038,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,3 years,Persons,249,units ,0,v1060794276,70.1.6,61118,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,4 years,Persons,249,units ,0,v1060794277,70.1.7,60938,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,5 to 9 years,Persons,249,units ,0,v1060794278,70.1.8,316185,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,5 years,Persons,249,units ,0,v1060794279,70.1.9,61162,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,6 years,Persons,249,units ,0,v1060794280,70.1.10,63103,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,7 years,Persons,249,units ,0,v1060794281,70.1.11,62058,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,8 years,Persons,249,units ,0,v1060794282,70.1.12,64336,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,9 years,Persons,249,units ,0,v1060794283,70.1.13,65526,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,10 to 14 years,Persons,249,units ,0,v1060794284,70.1.14,344912,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,10 years,Persons,249,units ,0,v1060794285,70.1.15,68298,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,11 years,Persons,249,units ,0,v1060794286,70.1.16,69407,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,12 years,Persons,249,units ,0,v1060794287,70.1.17,68717,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,13 years,Persons,249,units ,0,v1060794288,70.1.18,69187,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,14 years,Persons,249,units ,0,v1060794289,70.1.19,69303,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,15 to 19 years,Persons,249,units ,0,v1060794290,70.1.20,356105,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,15 years,Persons,249,units ,0,v1060794291,70.1.21,70746,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,16 years,Persons,249,units ,0,v1060794292,70.1.22,71937,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,17 years,Persons,249,units ,0,v1060794293,70.1.23,71364,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,18 years,Persons,249,units ,0,v1060794294,70.1.24,70116,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,19 years,Persons,249,units ,0,v1060794295,70.1.25,71942,,,,0
