Age group,REF_DATE,Sex,Persons
12 to 19 years,2007/2008,Females,1304711.0
12 to 19 years,2007/2008,Males,1374038.0
12 to 19 years,2009/2010,Females,1322407.0
12 to 19 years,2009/2010,Males,1395178.0
12 to 19 years,2011/2012,Females,1333431.0
12 to 19 years,2011/2012,Males,1412895.0
12 to 19 years,2013/2014,Females,1338133.0
12 to 19 years,2013/2014,Males,1416071.0
20 to 34 years,2007/2008,Females,1207913.0
20 to 34 years,2007/2008,Males,1164382.0
20 to 34 years,2009/2010,Females,1249029.0
20 to 34 years,2009/2010,Males,1190795.0
20 to 34 years,2011/2012,Females,1291015.0
20 to 34 years,2011/2012,Males,1240932.0
20 to 34 years,2013/2014,Females,1314450.0
20 to 34 years,2013/2014,Males,1298251.0
35 to 44 years,2007/2008,Females,908131.0
35 to 44 years,2007/2008,Males,898535.0
35 to 44 years,2009/2010,Females,896504.0
35 to 44 years,2009/2010,Males,864434.0
35 to 44 years,2011/2012,Females,897087.0
35 to 44 years,2011/2012,Males,845957.0
35 to 44 years,2013/2014,Females,901169.0
35 to 44 years,2013/2014,Males,835599.0
45 to 64 years,2007/2008,Females,1418134.0
45 to 64 years,2007/2008,Males,1373146.0
45 to 64 years,2009/2010,Females,1523931.0
45 to 64 years,2009/2010,Males,1477138.0
45 to 64 years,2011/2012,Females,1596978.0
45 to 64 years,2011/2012,Males,1550182.0
45 to 64 years,2013/2014,Females,1650099.0
45 to 64 years,2013/2014,Males,1596047.0
65 years and over,2007/2008,Females,718758.0
65 years and over,2007/2008,Males,549342.0
65 years and over,2009/2010,Females,761528.0
65 years and over,2009/2010,Males,588494.0
65 years and over,2011/2012,Females,814752.0
65 years and over,2011/2012,Males,637298.0
65 years and over,2013/2014,Females,882262.0
65 years and over,2013/2014,Males,699223.0
