"Grupo de Idade",Periodo,Sexo,Mortes,"População Total","% Mortes","5 ou mais bebidas em uma ocasião, pelo menos uma vez por mês no ano passado","% 5 ou mais bebidas em uma ocasião, pelo menos uma vez por mês no ano passado",Artrite,"% Artrite",Asma,"% Asma","IMC adulto (18 anos ou mais), obeso","% IMC adulto (18 anos ou mais), obeso","IMC adulto (18 anos ou mais), excesso de peso","% IMC adulto (18 anos ou mais), excesso de peso","IMC adulto (18 anos ou mais), acima do peso ou obeso","% IMC adulto (18 anos ou mais), acima do peso ou obeso","IMC jovens (12 a 17 anos), acima do peso ou obesos","% IMC jovens (12 a 17 anos), acima do peso ou obesos","Iniciação à amamentação","% Iniciação à amamentação","Doença pulmonar obstrutiva crônica (DPOC)","% Doença pulmonar obstrutiva crônica (DPOC)","Entrou em contato com um médico nos últimos 12 meses","% Entrou em contato com um médico nos últimos 12 meses","Fumante atual, diariamente","% Fumante atual, diariamente","Fumante atual, diário ou ocasional","% Fumante atual, diário ou ocasional",Diabetes,"% Diabetes","Aleitamento materno exclusivo, pelo menos 6 meses","% Aleitamento materno exclusivo, pelo menos 6 meses","Exposição ao fumo passivo em casa","% Exposição ao fumo passivo em casa","Exposição ao fumo passivo no mês passado, em locais públicos","% Exposição ao fumo passivo no mês passado, em locais públicos","Exposição ao fumo passivo no mês passado, em veículos","% Exposição ao fumo passivo no mês passado, em veículos","Exposição ao fumo passivo no mês passado, em veículos e / ou locais públicos","% Exposição ao fumo passivo no mês passado, em veículos e / ou locais públicos","Consumo de frutas e vegetais, 5 vezes ou mais por dia","% Consumo de frutas e vegetais, 5 vezes ou mais por dia","Saúde funcional, boa a completa","% Saúde funcional, boa a completa","Tem um médico regular","% Tem um médico regular","Abuso de bebida","% Abuso de bebida","Pressão alta","% Pressão alta","Imunização da gripe, há menos de um ano","% Imunização da gripe, há menos de um ano","Lesões nos últimos 12 meses causando limitação das atividades normais","% Lesões nos últimos 12 meses causando limitação das atividades normais","Lesões nos últimos 12 meses, procurou atendimento médico","% Lesões nos últimos 12 meses, procurou atendimento médico","Satisfação com a vida, satisfeito ou muito satisfeito","% Satisfação com a vida, satisfeita ou muito satisfeita","Transtorno do humor","% Transtorno do humor","Dor ou desconforto por gravidade, moderada ou grave","% Dor ou desconforto por gravidade, moderada ou grave","Dor ou desconforto que impede atividades","% Dor ou desconforto que impede atividades","Limitação de participação e atividade, às vezes ou frequentemente","% Limitação de participação e atividade, às vezes ou frequentemente","Saúde percebida, regular ou ruim","% Saúde percebida, regular ou ruim","Saúde percebida, muito boa ou excelente","% Saúde percebida, muito boa ou excelente","Percepção de estresse na vida, bastante (15 anos ou mais)","% Percepção de estresse na vida, bastante (15 anos ou mais)","Saúde mental percebida, regular ou ruim","% Saúde mental percebida, regular ou ruim","Saúde mental percebida, muito boa ou excelente","% Saúde mental percebida, muito boa ou excelente","A atividade física durante o lazer, inativo","% Atividade física no lazer, inativo","Atividade física no lazer, moderadamente ativa ou ativa","% Atividade física no lazer, moderadamente ativa ou ativa","Sensação de pertencer à comunidade local, um pouco forte ou muito forte","% Sensação de pertencer à comunidade local, um pouco forte ou muito forte","Usa um capacete ao andar de bicicleta, sempre","% Usa um capacete ao andar de bicicleta, sempre","Pessoas com renda abaixo de $5.000","% Pessoas com renda abaixo de $5.000","Pessoas com renda igual ou superior a $5.000","% Pessoas com renda igual ou superior a $5.000","Pessoas com renda igual ou superior a $10.000","% Pessoas com renda igual ou superior a $10.000","Pessoas com renda igual ou superior a $15.000","% Pessoas com renda igual ou superior a $15.000","Pessoas com renda igual ou superior a $20.000","% Pessoas com renda igual ou superior a $20.000","Pessoas com renda igual ou superior a $25.000","% Pessoas com renda igual ou superior a $25.000","Pessoas com renda igual ou superior a $35.000","% Pessoas com renda igual ou superior a $35.000","Pessoas com renda igual ou superior a $50.000","% Pessoas com renda igual ou superior a $50.000","Pessoas com renda igual ou superior a $ 75.000","% Pessoas com renda igual ou superior a $ 75.000","Pessoas com renda igual ou superior a $100.000","% Pessoas com renda igual ou superior a $100.000","Pessoas com renda igual ou superior a $150.000","% Pessoas com renda igual ou superior a $150.000","Pessoas com renda igual ou superior a $200.000","% Pessoas com renda igual ou superior a $200.000","Pessoas com renda igual ou superior a $250.000","% Pessoas com renda igual ou superior a $250.000"
"12 to 19 years",2007/2008,Females,32,1304711,0.0024526504336975776,5375.0,0.41196862753513996,,0,10246.0,0.7853080107395431,,0,,0,,0,7668.0,0.587716360174782,,0,,0,86181.0,6.605370844577842,,0,,0,,0,,0,13418.0,1.0284269849798153,32336.0,2.478403263251402,13341.0,1.0225252948737307,33835.0,2.593294607004923,51291.0,3.9312154185869517,,0,108734.0,8.333952883052262,,0,,0,37366.0,2.8639292532982403,,0,,0,100442.0,7.698409839420377,,0,,0,,0,14845.0,1.1377998652575168,,0,84998.0,6.514699423857085,13933.0,1.0678993278971358,,0,92631.0,7.099733197620009,62259.0,4.771861354736797,54068.0,4.144059489036269,90107.0,6.906280394662113,,0,223720.0,17.147092344588188,470.0,0.03602330324493317,142230.0,10.901264724525202,130.0,0.00996389238689641,93570.0,7.1717031587838225,70.0,0.00536517282371345,63200.0,4.8439846065527155,50.0,0.003832266302652465,26930.0,2.0640586306086175,349860.0,26.815133772919825,6820.0,0.5227211236817961,1210.0,0.09274084452418965,157540.0,12.074704666397386
"12 to 19 years",2007/2008,Males,87,1374038,0.006331702616667079,8966.0,0.65252926047169,,0,,0,,0,,0,,0,18650.0,1.3573132620786326,,0,,0,84180.0,6.12646811805787,,0,16437.0,0.1196255125404101,,0,,0,,0,24414.0,1.7768067549805755,12706.0,0.9247196947973781,31058.0,2.260345055959151,52252.0,3.8028060359320484,,0,118143.0,8.598233818860905,,0,,0,28358.0,2.063843940269483,,0,,0,117172.0,8.52756619540362,,0,,0,,0,19904.0,1.4485771135878338,,0,93157.0,6.779797938630518,14759.0,1.0741333209125221,,0,97998.0,7.132117161242993,33356.0,2.4275893388683576,88584.0,6.446983271205017,82945.0,6.036587052177596,,0,231630.0,16.857612380443626,820.0,0.05967811661686213,158700.0,11.549898911092708,250.0,0.01819454774904333,114300.0,8.318547230862611,140.0,0.010188946739464265,82520.0,6.005656321004222,90.0,0.0065500371896556,39630.0,2.8841997091783487,343970.0,25.03351435695374,12300.0,0.8951717492529319,2300.0,0.16738983929119863,158000.0,11.498954177395385
"12 to 19 years",2009/2010,Females,38,1322407,0.0028735480075347455,10370.0,0.7841761273193502,,0,9121.0,0.6897271414927477,,0,,0,,0,16140.0,1.2205017063581787,,0,,0,91196.0,6.896212739345755,,0,,0,,0,,0,,0,32703.0,2.4729905392212834,6449.0,0.4876713447524098,35943.0,2.7179983167058253,57792.0,4.370212801353895,95082.0,7.190070832958385,108475.0,8.202845266245566,,0,,0,22076.0,1.6693801530088692,11045.0,0.8352194142952964,,0,105956.0,8.012359281219776,,0,,0,,0,14454.0,1.0930069184449265,5310.0,0.40154052421077624,78471.0,5.933952255243658,21697.0,1.640720292617931,,0,85640.0,6.47606977277041,56860.0,4.299735255484885,57153.0,4.321891823016665,92267.0,6.977201421347588,20477.0,1.5484642776391837,223820.0,16.92519776437965,610.0,0.04612800748937354,140910.0,10.65556973004529,150.0,0.011342952661321364,91830.0,6.944155619260939,80.0,0.006049574752704727,62000.0,4.688420433346163,40.0,0.0030247873763523635,28690.0,2.1695287456887327,341640.0,25.834708981425536,8980.0,0.6790647659911055,1620.0,0.12250388874227072,167640.0,12.676883894292757
"12 to 19 years",2009/2010,Males,83,1395178,0.005949061696787077,5282.0,0.378589685330474,,0,10840.0,0.7769617926888182,,0,,0,9794.0,0.701989280220875,16375.0,1.173685364878173,,0,,0,91577.0,6.563821963935784,,0,,0,,0,,0,14541.0,1.042232604011818,23897.0,1.7128280405797682,,0,25942.0,1.8594043197355463,54369.0,3.896922113164055,106738.0,7.650493342068181,111509.0,7.992456876470243,,0,,0,35615.0,2.5527208714586953,27240.0,1.9524390436202406,12725.0,0.9120700011038019,111903.0,8.020697000669449,,0,,0,,0,10135.0,0.726430605987193,,0,93324.0,6.689038961336833,,0,,0,94186.0,6.750823192452862,30729.0,2.2025146612116875,84485.0,6.055499728350075,81458.0,5.838538165022671,25947.0,1.8597626969461962,227420.0,16.30042904919659,1010.0,0.07239219655126441,151130.0,10.832309569101577,260.0,0.01863561495379084,106970.0,7.6671220446423325,120.0,0.008601053055595774,77010.0,5.5197257984285875,70.0,0.005017280949097534,39080.0,2.8010762784390235,332310.0,23.818466174208595,14040.0,1.0063232075047055,2860.0,0.20499176449169926,169800.0,12.17049007366802
"12 to 19 years",2011/2012,Females,33,1333431,0.0024748187195287943,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,39461.0,2.9593582270098713,,0,39909.0,2.9929557659901413,40011.0,3.000605205668685,,0,101903.0,7.6421652113982645,,0,,0,24542.0,1.8405151822628991,,0,,0,108566.0,8.141853609223125,,0,,0,,0,,0,,0,74617.0,5.595865102881214,18654.0,1.3989475270936405,,0,89664.0,6.724307444479692,39336.0,2.9499839136783232,71962.0,5.396754687719125,95287.0,7.146001555386068,30082.0,2.255984749117127,239290.0,17.945435496849857,790.0,0.059245660255386294,150860.0,11.31367127357921,180.0,0.013499011197429786,97600.0,7.31946384927304,70.0,0.00524961546566714,65470.0,4.909890350531824,50.0,0.0037497253326193854,30820.0,2.3113306950265895,349830.0,26.235328262204792,10200.0,0.7649439678543547,2130.0,0.15973829916958582,158950.0,11.920376832397027
"12 to 19 years",2011/2012,Males,64,1412895,0.004529706736877121,10177.0,0.7202941478312259,,0,8439.0,0.5972842992579066,,0,,0,,0,19790.0,1.4006702550437222,,0,,0,,0,,0,,0,,0,,0,4992.0,0.3533171254764155,20172.0,1.4277069421294575,6586.0,0.4661351338917612,24618.0,1.7423800070068902,51103.0,3.6169000527286173,,0,102194.0,7.2329507854440696,,0,,0,30476.0,2.156989726766674,,0,,0,108315.0,7.66617476882571,,0,,0,,0,,0,,0,85824.0,6.074336734152219,11552.0,0.8176120660063204,,0,89085.0,6.305139447729662,33601.0,2.3781668135282525,81416.0,5.762353182649807,88938.0,6.294735277568398,30757.0,2.1768779704082752,248290.0,17.573138839050316,1370.0,0.09696403483627587,165880.0,11.740433648643387,320.0,0.022648533684385606,116460.0,8.242650727761086,130.0,0.009200966809281652,83980.0,5.9438245587959475,70.0,0.004954366743459351,43040.0,3.046227780549864,346250.0,24.506421213182865,16190.0,1.1458742510943842,3680.0,0.2604581373704345,160550.0,11.363194009462841
"12 to 19 years",2013/2014,Females,32,1338133,0.0023913915881306268,,0,,0,8676.0,0.6483660443319162,,0,,0,,0,8554.0,0.6392488639021682,,0,,0,74965.0,5.602208450131639,,0,,0,,0,,0,6483.0,0.4844809895578392,29858.0,2.231317813700133,,0,32079.0,2.397295336113824,52492.0,3.9227789763797767,86767.0,6.484183560229065,105704.0,7.899364263492494,,0,,0,21254.0,1.5883324004415107,14228.0,1.0632724848725799,,0,106528.0,7.960942596886857,,0,,0,,0,21658.0,1.6185237192416597,,0,69985.0,5.230048134228809,22108.0,1.6521526634497468,12530.0,0.9363792687273985,76147.0,5.690540476918214,48873.0,3.652327533959629,61175.0,4.571668137621597,87778.0,6.559736588216568,14852.0,1.1099046208411272,239290.0,17.882377910118052,790.0,0.05903747983197485,150860.0,11.273916718293323,180.0,0.013451577683234775,97600.0,7.293744343798411,70.0,0.0052311690990357465,65470.0,4.892637727341005,50.0,0.003736549356454104,30820.0,2.30320902331831,349830.0,26.143141227366783,10200.0,0.7622560687166373,2130.0,0.15917700258494483,158950.0,11.878490404167598
"12 to 19 years",2013/2014,Males,95,1416071,0.006708703165307389,,0,,0,9429.0,0.6658564436387724,,0,,0,,0,22880.0,1.615738193918243,,0,,0,83852.0,5.921454503340581,,0,,0,,0,,0,,0,24991.0,1.7648126400441788,,0,26156.0,1.8470825262292638,31365.0,2.2149313134722766,103718.0,7.324350262098441,110366.0,7.793818247813846,11279.0,0.7964996105421267,,0,34149.0,2.4115316251798107,29855.0,2.108298242107917,14309.0,1.0104719325514047,110744.0,7.820511824618963,,0,,0,,0,15496.0,1.094295413153719,,0,85400.0,6.030771055971064,9640.0,0.6807568264585604,,0,82114.0,5.798720544379484,40724.0,2.875844502147138,72422.0,5.114291585662018,89411.0,6.3140195654031475,24894.0,1.7579627010227594,248290.0,17.53372535699128,1370.0,0.09674656143653815,165880.0,11.714101905907262,320.0,0.022597736977877522,116460.0,8.2241639013863,130.0,0.009180330647262742,83980.0,5.930493598131732,70.0,0.0049432549639107076,43040.0,3.039395623524527,346250.0,24.451457589344034,16190.0,1.143304255224491,3680.0,0.25987397524559147,160550.0,11.337708349369487
"20 to 34 years",2007/2008,Females,153,1207913,0.012666475151770036,45721.0,3.7851235974776327,8597.0,0.7117234436586078,16868.0,1.3964581886278233,22002.0,1.8214887992761066,38103.0,3.154449037306495,60105.0,4.9759378365826015,,0,66484.0,5.5040387842501906,,0,250770.0,20.76060113600897,31223.0,2.584871592573306,50550.0,0.4184904045241669,,0,20090.0,1.6631992535886277,,0,45487.0,3.765751341363161,10717.0,0.8872327725589508,49873.0,4.128856962380569,116860.0,9.674537818534944,,0,254864.0,21.09953283059293,,0,,0,63151.0,5.228108315747906,,0,,0,267306.0,22.12957390143164,10593.0,0.8769671325666667,11307.0,0.9360773499415935,19495.0,1.613940739109522,42131.0,3.487916762217146,17779.0,1.4718775276033953,208143.0,17.231621813822684,65651.0,5.435076863979442,15552.0,1.2875099448387426,231378.0,19.155187501086584,176326.0,14.597574494189566,118119.0,9.778767179424346,168309.0,13.933867753720675,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"20 to 34 years",2007/2008,Males,317,1164382,0.027224742395536863,90342.0,7.758793935323631,,0,19111.0,1.641299848331561,27233.0,2.338837254440553,86281.0,7.410025232269135,113513.0,9.748776604241563,,0,,0,,0,185950.0,15.969844947792048,62377.0,5.357090714215781,95025.0,0.8160981533551703,,0,,0,,0,43961.0,3.775479181230902,27744.0,2.382723195652286,51014.0,4.381208228914566,97861.0,8.404544213153416,,0,221270.0,19.003213721957227,,0,,0,45616.0,3.917614665977317,,0,,0,263103.0,22.59593501101872,,0,,0,12050.0,1.0348837409028997,37510.0,3.221451379358321,8305.0,0.7132538977758158,203389.0,17.467549309419073,39956.0,3.4315198963913907,,0,235205.0,20.199985915275228,151438.0,13.005869207871642,141237.0,12.129782150531355,157494.0,13.52597343483496,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
